Year,Month,Sensor_ID,Hourly_Counts,sensor_description,sensor_name
2019,6,35,682976,Southbank,SouthB_T
2019,6,47,643533,Melbourne Central-Elizabeth St (East),Eli250_T
2019,7,22,1356376,Flinders St-Elizabeth St (East),Eli274_T
2019,7,24,1087198,Spencer St-Collins St (North),Col620_T
2019,7,4,1042025,Town Hall (West),Swa123_T
2019,7,6,1030584,Flinders Street Station Underpass,FliS_T
2019,7,5,1012406,Princes Bridge,PriNW_T
2019,7,1,895441,Bourke Street Mall (North),Bou292_T
2019,7,3,888107,Melbourne Central,Swa295_T
2019,7,28,868490,The Arts Centre,VAC_T
2019,7,57,814354,Bourke St Bridge,BouBri_T
2019,7,35,750612,Southbank,SouthB_T
2019,8,22,1359268,Flinders St-Elizabeth St (East),Eli274_T
2019,8,24,1101164,Spencer St-Collins St (North),Col620_T
2019,8,4,1064689,Town Hall (West),Swa123_T
2019,8,6,1051024,Flinders Street Station Underpass,FliS_T
2019,8,3,981893,Melbourne Central,Swa295_T
2019,8,5,963378,Princes Bridge,PriNW_T
2019,8,60,961210,Flinders La - Swanston St (West) Temporary,Swa31T_T
2019,8,57,858475,Bourke St Bridge,BouBri_T
2019,8,1,838069,Bourke Street Mall (North),Bou292_T
2019,8,28,815103,The Arts Centre,VAC_T
2019,9,22,1271923,Flinders St-Elizabeth St (East),Eli274_T
2019,9,6,1008301,Flinders Street Station Underpass,FliS_T
2019,9,24,984837,Spencer St-Collins St (North),Col620_T
2019,9,4,971314,Town Hall (West),Swa123_T
2019,9,1,943758,Bourke Street Mall (North),Bou292_T
2019,9,5,925437,Princes Bridge,PriNW_T
2019,9,3,869674,Melbourne Central,Swa295_T
2019,9,28,772680,The Arts Centre,VAC_T
2019,9,35,733141,Southbank,SouthB_T
2019,9,47,672015,Melbourne Central-Elizabeth St (East),Eli250_T
2019,10,22,1366031,Flinders St-Elizabeth St (East),Eli274_T
2019,10,6,1151298,Flinders Street Station Underpass,FliS_T
2019,10,24,1089498,Spencer St-Collins St (North),Col620_T
2019,10,4,1047186,Town Hall (West),Swa123_T
2019,10,1,1028681,Bourke Street Mall (North),Bou292_T
2019,10,5,1028104,Princes Bridge,PriNW_T
2019,10,41,982823,Flinders La-Swanston St (West),Swa31
2019,10,25,965404,Melbourne Convention Exhibition Centre,MCEC_T
2019,10,3,919197,Melbourne Central,Swa295_T
2019,10,35,861390,Southbank,SouthB_T
2019,11,22,1311400,Flinders St-Elizabeth St (East),Eli274_T
2019,11,41,1123654,Flinders La-Swanston St (West),Swa31
2019,11,6,1105507,Flinders Street Station Underpass,FliS_T
2019,11,4,1074747,Town Hall (West),Swa123_T
2019,11,24,1054288,Spencer St-Collins St (North),Col620_T
2019,11,1,1037267,Bourke Street Mall (North),Bou292_T
2019,11,3,901523,Melbourne Central,Swa295_T
2019,11,28,774709,The Arts Centre,VAC_T
2019,11,35,770162,Southbank,SouthB_T
2019,11,2,744945,Bourke Street Mall (South),Bou283_T
2019,12,41,1470360,Flinders La-Swanston St (West),Swa31
2019,12,22,1346535,Flinders St-Elizabeth St (East),Eli274_T
2019,12,4,1244392,Town Hall (West),Swa123_T
2019,12,1,1192463,Bourke Street Mall (North),Bou292_T
2019,12,6,1187116,Flinders Street Station Underpass,FliS_T
2019,12,5,1068849,Princes Bridge,PriNW_T
2019,12,35,977637,Southbank,SouthB_T
2019,12,24,958089,Spencer St-Collins St (North),Col620_T
2019,12,2,927155,Bourke Street Mall (South),Bou283_T
2019,12,3,911297,Melbourne Central,Swa295_T
2020,1,41,1354171,Flinders La-Swanston St (West),Swa31
2020,1,22,1290280,Flinders St-Elizabeth St (East),Eli274_T
2020,1,5,1247383,Princes Bridge,PriNW_T
2020,1,4,1030896,Town Hall (West),Swa123_T
2020,1,6,1019459,Flinders Street Station Underpass,FliS_T
2020,1,24,935880,Spencer St-Collins St (North),Col620_T
2020,1,35,910977,Southbank,SouthB_T
2020,1,28,893317,The Arts Centre,VAC_T
2020,1,1,892048,Bourke Street Mall (North),Bou292_T
2020,1,25,771333,Melbourne Convention Exhibition Centre,MCEC_T
2020,2,22,1209332,Flinders St-Elizabeth St (East),Eli274_T
2020,2,41,1174631,Flinders La-Swanston St (West),Swa31
2020,2,6,1006221,Flinders Street Station Underpass,FliS_T
2020,2,35,1002477,Southbank,SouthB_T
2020,2,5,942341,Princes Bridge,PriNW_T
2020,2,4,905988,Town Hall (West),Swa123_T
2020,2,24,888466,Spencer St-Collins St (North),Col620_T
2020,2,1,799619,Bourke Street Mall (North),Bou292_T
2020,2,3,741496,Melbourne Central,Swa295_T
2020,2,28,701412,The Arts Centre,VAC_T
2020,3,22,960996,Flinders St-Elizabeth St (East),Eli274_T
2020,3,35,816192,Southbank,SouthB_T
2020,3,41,813394,Flinders La-Swanston St (West),Swa31
2020,3,6,660488,Flinders Street Station Underpass,FliS_T
2020,3,4,634135,Town Hall (West),Swa123_T
2020,3,5,595265,Princes Bridge,PriNW_T
2020,3,24,586391,Spencer St-Collins St (North),Col620_T
2020,3,1,560956,Bourke Street Mall (North),Bou292_T
2020,3,3,560572,Melbourne Central,Swa295_T
2020,3,55,532240,Elizabeth St-La Trobe St (East),Eli380_T
2020,4,22,299425,Flinders St-Elizabeth St (East),Eli274_T
2020,4,55,203304,Elizabeth St-La Trobe St (East),Eli380_T
2020,4,35,194288,Southbank,SouthB_T
2020,4,41,156713,Flinders La-Swanston St (West),Swa31
2020,4,24,147616,Spencer St-Collins St (North),Col620_T
2020,4,4,130659,Town Hall (West),Swa123_T
2020,4,26,130433,QV Market-Elizabeth St (West),Eli483_T
2020,4,6,129411,Flinders Street Station Underpass,FliS_T
2020,4,3,127245,Melbourne Central,Swa295_T
2020,4,47,126345,Melbourne Central-Elizabeth St (East),Eli250_T
2020,5,22,445791,Flinders St-Elizabeth St (East),Eli274_T
2020,5,55,299323,Elizabeth St-La Trobe St (East),Eli380_T
2020,5,41,284010,Flinders La-Swanston St (West),Swa31
2020,5,1,269797,Bourke Street Mall (North),Bou292_T
2020,5,4,245937,Town Hall (West),Swa123_T
2020,5,35,240025,Southbank,SouthB_T
2020,5,3,221395,Melbourne Central,Swa295_T
2020,5,47,212147,Melbourne Central-Elizabeth St (East),Eli250_T
2020,5,24,210379,Spencer St-Collins St (North),Col620_T
2020,5,6,190959,Flinders Street Station Underpass,FliS_T
2020,6,22,557724,Flinders St-Elizabeth St (East),Eli274_T
2020,6,41,482013,Flinders La-Swanston St (West),Swa31
2020,6,1,424476,Bourke Street Mall (North),Bou292_T
2020,6,4,394408,Town Hall (West),Swa123_T
2020,6,55,385350,Elizabeth St-La Trobe St (East),Eli380_T
2020,6,3,352121,Melbourne Central,Swa295_T
2020,6,47,302881,Melbourne Central-Elizabeth St (East),Eli250_T
2020,6,15,277962,State Library,QV_T
2020,6,66,277962,State Library - New,QVN_T
2020,6,5,274311,Princes Bridge,PriNW_T
2020,7,22,391523,Flinders St-Elizabeth St (East),Eli274_T
2020,7,41,290935,Flinders La-Swanston St (West),Swa31
2020,7,55,287679,Elizabeth St-La Trobe St (East),Eli380_T
2020,7,4,222709,Town Hall (West),Swa123_T
2020,7,1,216577,Bourke Street Mall (North),Bou292_T
2020,7,47,205960,Melbourne Central-Elizabeth St (East),Eli250_T
2020,7,3,193613,Melbourne Central,Swa295_T
2020,7,24,182899,Spencer St-Collins St (North),Col620_T
2020,7,5,169971,Princes Bridge,PriNW_T
2020,7,25,168589,Melbourne Convention Exhibition Centre,MCEC_T
2020,8,22,254305,Flinders St-Elizabeth St (East),Eli274_T
2020,8,55,180654,Elizabeth St-La Trobe St (East),Eli380_T
2020,8,41,137467,Flinders La-Swanston St (West),Swa31
2020,8,35,130420,Southbank,SouthB_T
2020,8,25,127307,Melbourne Convention Exhibition Centre,MCEC_T
2020,8,47,124483,Melbourne Central-Elizabeth St (East),Eli250_T
2020,8,26,115828,QV Market-Elizabeth St (West),Eli483_T
2020,8,6,98834,Flinders Street Station Underpass,FliS_T
2020,8,24,98464,Spencer St-Collins St (North),Col620_T
2020,8,4,97813,Town Hall (West),Swa123_T
2020,9,22,276070,Flinders St-Elizabeth St (East),Eli274_T
2020,9,55,195295,Elizabeth St-La Trobe St (East),Eli380_T
2020,9,41,161884,Flinders La-Swanston St (West),Swa31
2020,9,25,155748,Melbourne Convention Exhibition Centre,MCEC_T
2020,9,35,153717,Southbank,SouthB_T
2020,9,47,135639,Melbourne Central-Elizabeth St (East),Eli250_T
2020,9,26,125332,QV Market-Elizabeth St (West),Eli483_T
2020,9,3,114151,Melbourne Central,Swa295_T
2020,9,5,112820,Princes Bridge,PriNW_T
2020,9,4,112765,Town Hall (West),Swa123_T
2020,10,22,357418,Flinders St-Elizabeth St (East),Eli274_T
2020,10,41,265184,Flinders La-Swanston St (West),Swa31
2020,10,55,260093,Elizabeth St-La Trobe St (East),Eli380_T
2020,10,3,200440,Melbourne Central,Swa295_T
2020,10,4,198010,Town Hall (West),Swa123_T
2020,10,35,193587,Southbank,SouthB_T
2020,10,25,193419,Melbourne Convention Exhibition Centre,MCEC_T
2020,10,47,190966,Melbourne Central-Elizabeth St (East),Eli250_T
2020,10,5,184081,Princes Bridge,PriNW_T
2020,10,6,162612,Flinders Street Station Underpass,FliS_T
2020,11,41,602980,Flinders La-Swanston St (West),Swa31
2020,11,22,558750,Flinders St-Elizabeth St (East),Eli274_T
2020,11,1,498611,Bourke Street Mall (North),Bou292_T
2020,11,4,490630,Town Hall (West),Swa123_T
2020,11,3,425215,Melbourne Central,Swa295_T
2020,11,55,393471,Elizabeth St-La Trobe St (East),Eli380_T
2020,11,47,366156,Melbourne Central-Elizabeth St (East),Eli250_T
2020,11,5,364502,Princes Bridge,PriNW_T
2020,11,35,361771,Southbank,SouthB_T
2020,11,6,324248,Flinders Street Station Underpass,FliS_T
2020,12,41,974529,Flinders La-Swanston St (West),Swa31
2020,12,4,796734,Town Hall (West),Swa123_T
2020,12,22,758570,Flinders St-Elizabeth St (East),Eli274_T
2020,12,5,731645,Princes Bridge,PriNW_T
2020,12,1,714656,Bourke Street Mall (North),Bou292_T
2020,12,35,580074,Southbank,SouthB_T
2020,12,2,512225,Bourke Street Mall (South),Bou283_T
2020,12,6,494740,Flinders Street Station Underpass,FliS_T
2020,12,55,479460,Elizabeth St-La Trobe St (East),Eli380_T
2020,12,47,477188,Melbourne Central-Elizabeth St (East),Eli250_T
2021,1,41,746069,Flinders La-Swanston St (West),Swa31
2021,1,5,657882,Princes Bridge,PriNW_T
2021,1,22,639360,Flinders St-Elizabeth St (East),Eli274_T
2021,1,4,558664,Town Hall (West),Swa123_T
2021,1,1,459859,Bourke Street Mall (North),Bou292_T
2021,1,35,433834,Southbank,SouthB_T
2021,1,55,425889,Elizabeth St-La Trobe St (East),Eli380_T
2021,1,6,412406,Flinders Street Station Underpass,FliS_T
2021,1,28,407448,The Arts Centre,VAC_T
2021,1,47,361790,Melbourne Central-Elizabeth St (East),Eli250_T
2021,2,41,632923,Flinders La-Swanston St (West),Swa31
2021,2,22,517017,Flinders St-Elizabeth St (East),Eli274_T
2021,2,5,515746,Princes Bridge,PriNW_T
2021,2,4,456419,Town Hall (West),Swa123_T
2021,2,55,371647,Elizabeth St-La Trobe St (East),Eli380_T
2021,2,6,355201,Flinders Street Station Underpass,FliS_T
2021,2,1,354240,Bourke Street Mall (North),Bou292_T
2021,2,28,317626,The Arts Centre,VAC_T
2021,2,25,309576,Melbourne Convention Exhibition Centre,MCEC_T
2021,2,47,293808,Melbourne Central-Elizabeth St (East),Eli250_T
2021,3,41,909361,Flinders La-Swanston St (West),Swa31
2021,3,22,676032,Flinders St-Elizabeth St (East),Eli274_T
2021,3,5,660726,Princes Bridge,PriNW_T
2021,3,4,650570,Town Hall (West),Swa123_T
2021,3,1,523660,Bourke Street Mall (North),Bou292_T
2021,3,6,510400,Flinders Street Station Underpass,FliS_T
2021,3,55,470084,Elizabeth St-La Trobe St (East),Eli380_T
2021,3,15,462712,State Library,QV_T
2021,3,66,462712,State Library - New,QVN_T
2021,3,28,458441,The Arts Centre,VAC_T
2021,4,41,1005610,Flinders La-Swanston St (West),Swa31
2021,4,5,759926,Princes Bridge,PriNW_T
2021,4,4,743653,Town Hall (West),Swa123_T
2021,4,22,664671,Flinders St-Elizabeth St (East),Eli274_T
2021,4,1,612164,Bourke Street Mall (North),Bou292_T
2021,4,6,564776,Flinders Street Station Underpass,FliS_T
2021,4,28,563047,The Arts Centre,VAC_T
2021,4,55,510336,Elizabeth St-La Trobe St (East),Eli380_T
2021,4,15,503175,State Library,QV_T
2021,4,66,503175,State Library - New,QVN_T
2021,5,41,824586,Flinders La-Swanston St (West),Swa31
2021,5,35,701947,Southbank,SouthB_T
2021,5,4,611918,Town Hall (West),Swa123_T
2021,5,5,556204,Princes Bridge,PriNW_T
2021,5,1,529938,Bourke Street Mall (North),Bou292_T
2021,5,6,504102,Flinders Street Station Underpass,FliS_T
2021,5,22,498975,Flinders St-Elizabeth St (East),Eli274_T
2021,5,55,477794,Elizabeth St-La Trobe St (East),Eli380_T
2021,5,25,461094,Melbourne Convention Exhibition Centre,MCEC_T
2021,5,66,443760,State Library - New,QVN_T
2021,6,41,574050,Flinders La-Swanston St (West),Swa31
2021,6,22,484247,Flinders St-Elizabeth St (East),Eli274_T
2021,6,35,426190,Southbank,SouthB_T
2021,6,4,415985,Town Hall (West),Swa123_T
2021,6,55,369319,Elizabeth St-La Trobe St (East),Eli380_T
2021,6,5,358617,Princes Bridge,PriNW_T
2021,6,1,349759,Bourke Street Mall (North),Bou292_T
2021,6,15,309081,State Library,QV_T
2021,6,66,309081,State Library - New,QVN_T
2021,6,47,295397,Melbourne Central-Elizabeth St (East),Eli250_T
2021,7,41,709195,Flinders La-Swanston St (West),Swa31
2021,7,22,587906,Flinders St-Elizabeth St (East),Eli274_T
2021,7,5,526115,Princes Bridge,PriNW_T
2021,7,35,499399,Southbank,SouthB_T
2021,7,4,483035,Town Hall (West),Swa123_T
2021,7,28,408728,The Arts Centre,VAC_T
2021,7,55,405882,Elizabeth St-La Trobe St (East),Eli380_T
2021,7,1,397827,Bourke Street Mall (North),Bou292_T
2021,7,6,363938,Flinders Street Station Underpass,FliS_T
2021,7,15,343527,State Library,QV_T
2021,8,22,372280,Flinders St-Elizabeth St (East),Eli274_T
2021,8,41,304048,Flinders La-Swanston St (West),Swa31
2021,8,55,269199,Elizabeth St-La Trobe St (East),Eli380_T
2021,8,25,245638,Melbourne Convention Exhibition Centre,MCEC_T
2021,8,35,231854,Southbank,SouthB_T
2021,8,4,213065,Town Hall (West),Swa123_T
2021,8,15,184230,State Library,QV_T
2021,8,66,184230,State Library - New,QVN_T
2021,8,47,181465,Melbourne Central-Elizabeth St (East),Eli250_T
2021,8,6,180941,Flinders Street Station Underpass,FliS_T
2021,9,22,311203,Flinders St-Elizabeth St (East),Eli274_T
2021,9,35,279021,Southbank,SouthB_T
2021,9,25,270099,Melbourne Convention Exhibition Centre,MCEC_T
2021,9,41,246759,Flinders La-Swanston St (West),Swa31
2021,9,55,242496,Elizabeth St-La Trobe St (East),Eli380_T
2021,9,6,237929,Flinders Street Station Underpass,FliS_T
2021,9,4,173612,Town Hall (West),Swa123_T
2021,9,47,164716,Melbourne Central-Elizabeth St (East),Eli250_T
2021,9,15,150230,State Library,QV_T
2021,9,66,150230,State Library - New,QVN_T
2021,10,35,402560,Southbank,SouthB_T
2021,10,22,398318,Flinders St-Elizabeth St (East),Eli274_T
2021,10,55,306600,Elizabeth St-La Trobe St (East),Eli380_T
2021,10,25,294335,Melbourne Convention Exhibition Centre,MCEC_T
2021,10,4,277236,Town Hall (West),Swa123_T
2021,10,41,264950,Flinders La-Swanston St (West),Swa31
2021,10,3,256758,Melbourne Central,Swa295_T
2021,10,15,239090,State Library,QV_T
2021,10,66,239090,State Library - New,QVN_T
2021,10,47,223689,Melbourne Central-Elizabeth St (East),Eli250_T
2021,11,41,833020,Flinders La-Swanston St (West),Swa31
2021,11,35,663154,Southbank,SouthB_T
2021,11,4,659965,Town Hall (West),Swa123_T
2021,11,1,616995,Bourke Street Mall (North),Bou292_T
2021,11,3,573539,Melbourne Central,Swa295_T
2021,11,6,554083,Flinders Street Station Underpass,FliS_T
2021,11,55,492453,Elizabeth St-La Trobe St (East),Eli380_T
2021,11,15,456515,State Library,QV_T
2021,11,66,456515,State Library - New,QVN_T
2021,11,25,456039,Melbourne Convention Exhibition Centre,MCEC_T
2021,12,41,1137102,Flinders La-Swanston St (West),Swa31
2021,12,35,1038217,Southbank,SouthB_T
2021,12,4,910918,Town Hall (West),Swa123_T
2021,12,1,773993,Bourke Street Mall (North),Bou292_T
2021,12,5,724368,Princes Bridge,PriNW_T
2021,12,3,668351,Melbourne Central,Swa295_T
2021,12,25,604865,Melbourne Convention Exhibition Centre,MCEC_T
2021,12,22,584280,Flinders St-Elizabeth St (East),Eli274_T
2021,12,55,548643,Elizabeth St-La Trobe St (East),Eli380_T
2021,12,47,533409,Melbourne Central-Elizabeth St (East),Eli250_T
2022,1,41,723167,Flinders La-Swanston St (West),Swa31
2022,1,35,699875,Southbank,SouthB_T
2022,1,4,537982,Town Hall (West),Swa123_T
2022,1,5,528785,Princes Bridge,PriNW_T
2022,1,3,470868,Melbourne Central,Swa295_T
2022,1,84,456394,Elizabeth St - Flinders St (East) - New footpath,ElFi_T
2022,1,55,455524,Elizabeth St-La Trobe St (East),Eli380_T
2022,1,1,412675,Bourke Street Mall (North),Bou292_T
2022,1,25,402501,Melbourne Convention Exhibition Centre,MCEC_T
2022,1,6,381308,Flinders Street Station Underpass,FliS_T
2022,2,41,786709,Flinders La-Swanston St (West),Swa31
2022,2,35,713303,Southbank,SouthB_T
2022,2,4,573847,Town Hall (West),Swa123_T
2022,2,5,559468,Princes Bridge,PriNW_T
2022,2,3,545816,Melbourne Central,Swa295_T
2022,2,84,491831,Elizabeth St - Flinders St (East) - New footpath,ElFi_T
2022,2,1,471266,Bourke Street Mall (North),Bou292_T
2022,2,66,469942,State Library - New,QVN_T
2022,2,6,435167,Flinders Street Station Underpass,FliS_T
2022,2,25,423117,Melbourne Convention Exhibition Centre,MCEC_T
2022,3,41,1071759,Flinders La-Swanston St (West),Swa31
2022,3,35,989844,Southbank,SouthB_T
2022,3,4,826032,Town Hall (West),Swa123_T
2022,3,5,772113,Princes Bridge,PriNW_T
2022,3,3,724048,Melbourne Central,Swa295_T
2022,3,84,661185,Elizabeth St - Flinders St (East) - New footpath,ElFi_T
2022,3,66,614302,State Library - New,QVN_T
2022,3,6,607278,Flinders Street Station Underpass,FliS_T
2022,3,1,570461,Bourke Street Mall (North),Bou292_T
2022,3,47,523153,Melbourne Central-Elizabeth St (East),Eli250_T
2022,4,41,1172518,Flinders La-Swanston St (West),Swa31
2022,4,35,1055102,Southbank,SouthB_T
2022,4,4,1030598,Town Hall (West),Swa123_T
2022,4,5,818640,Princes Bridge,PriNW_T
2022,4,3,769096,Melbourne Central,Swa295_T
2022,4,84,697132,Elizabeth St - Flinders St (East) - New footpath,ElFi_T
2022,4,66,638649,State Library - New,QVN_T
2022,4,6,636340,Flinders Street Station Underpass,FliS_T
2022,4,25,626553,Melbourne Convention Exhibition Centre,MCEC_T
2022,4,1,621172,Bourke Street Mall (North),Bou292_T
2022,5,41,1002948,Flinders La-Swanston St (West),Swa31
2022,5,35,828999,Southbank,SouthB_T
2022,5,3,691828,Melbourne Central,Swa295_T
2022,5,84,649271,Elizabeth St - Flinders St (East) - New footpath,ElFi_T
2022,5,66,607245,State Library - New,QVN_T
2022,5,6,585139,Flinders Street Station Underpass,FliS_T
2022,5,5,583020,Princes Bridge,PriNW_T
2022,5,25,574844,Melbourne Convention Exhibition Centre,MCEC_T
2022,5,47,537508,Melbourne Central-Elizabeth St (East),Eli250_T
2022,5,1,531617,Bourke Street Mall (North),Bou292_T
2022,6,41,1086437,Flinders La-Swanston St (West),Swa31
2022,6,35,807946,Southbank,SouthB_T
2022,6,3,677908,Melbourne Central,Swa295_T
2022,6,84,656164,Elizabeth St - Flinders St (East) - New footpath,ElFi_T
2022,6,25,594687,Melbourne Convention Exhibition Centre,MCEC_T
2022,6,66,584074,State Library - New,QVN_T
2022,6,6,576756,Flinders Street Station Underpass,FliS_T
2022,6,5,576741,Princes Bridge,PriNW_T
2022,6,47,556423,Melbourne Central-Elizabeth St (East),Eli250_T
2022,6,1,529691,Bourke Street Mall (North),Bou292_T
2022,7,41,1154246,Flinders La-Swanston St (West),Swa31
2022,7,35,908920,Southbank,SouthB_T
2022,7,3,779160,Melbourne Central,Swa295_T
2022,7,84,716653,Elizabeth St - Flinders St (East) - New footpath,ElFi_T
2022,7,66,698162,State Library - New,QVN_T
2022,7,5,628500,Princes Bridge,PriNW_T
2022,7,47,625502,Melbourne Central-Elizabeth St (East),Eli250_T
2022,7,25,621363,Melbourne Convention Exhibition Centre,MCEC_T
2022,7,6,604537,Flinders Street Station Underpass,FliS_T
2022,7,28,585960,The Arts Centre,VAC_T
2022,8,41,1177019,Flinders La-Swanston St (West),Swa31
2022,8,35,820091,Southbank,SouthB_T
2022,8,3,756552,Melbourne Central,Swa295_T
2022,8,84,688047,Elizabeth St - Flinders St (East) - New footpath,ElFi_T
2022,8,66,673109,State Library - New,QVN_T
2022,8,6,595411,Flinders Street Station Underpass,FliS_T
2022,8,1,569515,Bourke Street Mall (North),Bou292_T
2022,8,47,569053,Melbourne Central-Elizabeth St (East),Eli250_T
2022,8,24,562605,Spencer St-Collins St (North),Col620_T
2022,8,5,556840,Princes Bridge,PriNW_T
